Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc
647	24286.2	24145.0	24288.9	24143.9	1638.52051	9384.86230	305.45285	1.00731	1.30201	1167.67090	9635.12500	861	1	18	1	549.219	555.126	822.73991	10.56482	24286.2	24145.0	24288.9	24143.9	549.2	549.2
647	24258.6	24608.7	24260.9	24607.6	648.56171	5757.71094	382.46152	0.88452	1.45584	1217.79846	6107.07031	883	1	12	1	447.004	452.562	504.75952	25.02193	24258.6	24608.7	24260.9	24607.6	447.0	447.0
647	23646.5	24690.0	23648.6	24689.0	932.60242	8618.79785	396.50336	0.36771	0.55104	1146.75989	9328.49219	901	1	21	1	776.832	782.104	755.58157	17.93196	23646.5	24690.0	23648.6	24689.0	776.8	776.8
647	24292.2	24718.0	24294.2	24716.9	706.10791	5971.15869	371.81702	1.02615	1.34070	1121.36975	6297.70313	919	1	19	1	481.566	486.838	523.47178	22.14210	24292.2	24718.0	24294.2	24716.9	481.6	481.6
647	23717.8	24721.7	23719.8	24720.7	892.23651	13134.23340	490.75504	0.70849	0.55404	1131.76892	13689.03125	921	1	15	1	852.409	857.681	1151.43490	17.89266	23717.8	24721.7	23719.8	24720.7	852.4	852.4
647	24365.5	24299.9	24367.4	24298.8	613.24628	4061.01416	328.15262	0.27389	1.34526	1166.02222	4425.60156	922	1	9	1	527.894	533.166	356.01571	25.58704	24365.5	24299.9	24367.4	24298.8	527.9	527.9
647	24013.0	25025.7	24015.0	25024.6	1057.44666	7388.21924	337.47409	0.43581	0.96984	1178.26038	7873.24219	929	1	10	1	615.082	620.354	647.70080	15.58711	24013.0	25025.7	24015.0	25024.6	615.1	615.1
647	24342.2	24074.4	24344.1	24073.3	2487.92725	14417.92090	305.36636	0.81041	1.00096	1220.54346	14764.37109	948	1	14	1	602.9	608.172	1263.97155	7.47118	24342.2	24074.4	24344.1	24073.3	602.9	602.9
647	24207.6	23988.3	24209.5	23987.3	829.14691	6334.96680	352.92746	0.17535	0.66743	1136.19873	6774.47656	974	1	15	1	711.849	717.121	555.36563	19.15582	24207.6	23988.3	24209.5	23987.3	711.8	711.8
647	24028.1	25066.6	24030.0	25065.6	1024.42078	7508.56836	346.76840	0.45013	0.64760	1196.59009	7904.82813	986	1	19	1	711.143	716.415	658.25141	16.23055	24028.1	25066.6	24030.0	25065.6	711.1	711.1
647	24580.3	24474.9	24582.2	24473.8	873.10486	5617.34668	322.63535	0.34585	1.27788	1124.39392	5997.17969	999	1	20	1	543.336	548.608	492.45425	18.08491	24580.3	24474.9	24582.2	24473.8	543.3	543.3
647	24819.7	24498.4	24819.7	24498.4	783.30328	7827.84277	405.84769	1.17711	0.70741	1318.43115	8324.83594	6	1	26	1	916.679	916.679	686.24114	21.70612	24819.7	24498.4	24819.7	24498.4	916.7	916.7
647	23790.2	24893.2	23790.2	24893.2	2405.70264	16232.77051	331.63696	0.23446	1.03673	1155.14075	16695.10156	25	1	11	1	752.319	752.319	1423.07342	7.60834	23790.2	24893.2	23790.2	24893.2	752.3	752.3
647	23905.6	24611.1	23905.6	24611.1	725.44128	7836.06543	413.53101	0.33627	1.94170	1204.98499	9498.15625	26	1	12	1	507.742	507.742	686.96200	21.59814	23905.6	24611.1	23905.6	24611.1	507.7	507.7
