Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc	Zw	Zwc	Layer_number
647	21600.9	21296.1	21601.1	21294.8	681.78302	5076.62695	348.35717999999997	0.8381200000000001	1.10012	1340.74695	6377.39844	246	1	21	1	395.125	392.37699999999995	445.05113	24.667379999999998	21600.9	21296.1	21601.1	21294.8	395.1	395.1	1
647	20586.2	20980.7	20586.3	20979.4	2204.3786600000003	15869.85254	342.40713999999997	0.1641	0.71506	1394.79968	16514.61719	248	1	28	1	510.07	507.282	1391.2576	8.70712	20586.2	20980.7	20586.3	20979.4	510.1	510.1	1
647	21417.0	21218.3	21417.2	21217.0	833.19128	6156.45117	349.88391	0.17595999999999998	1.56879	1338.44543	6957.9375	248	1	29	1	300.248	297.461	539.7157599999999	20.750510000000002	21417.0	21218.3	21417.2	21217.0	300.2	300.2	1
647	20769.1	21252.1	20769.2	21250.7	1638.74927	12409.30762	351.67401	0.42208999999999997	0.78089	1251.66895	12851.85938	253	1	38	1	501.88199999999995	499.0	1087.88305	10.82982	20769.1	21252.1	20769.2	21250.7	501.9	501.9	1
647	21509.9	21333.5	21510.1	21332.2	615.38086	29938.070310000003	378.79831	0.20278	0.6451100000000001	1408.82935	30742.5	254	2	27	1	559.192	556.2909999999999	2624.57183	7.728110000000001	21509.9	21333.5	21510.1	21332.2	559.2	559.2	1
647	21530.2	20198.9	21530.4	20197.5	933.87451	8823.35352	392.72677999999996	1.15221	0.73617	1385.87927	9502.29688	258	1	23	1	553.052	550.0740000000001	773.5142900000001	18.67114	21530.2	20198.9	21530.4	20197.5	553.1	553.1	1
647	21616.1	20271.0	21616.3	20269.5	779.98682	4377.21338	302.39874	0.92904	1.05951	1458.00891	4722.5625	264	1	30	1	414.80400000000003	411.711	383.73585	22.58171	21616.1	20271.0	21616.3	20269.5	414.8	414.8	1
647	20649.2	20488.1	20649.4	20486.6	2084.14746	13698.22754	327.28561	0.05851	1.0669	1297.8101800000002	13936.300780000001	268	1	29	1	410.587	407.418	1200.8784	8.91893	20649.2	20488.1	20649.4	20486.6	410.6	410.6	1
647	20732.7	20965.7	20732.9	20964.2	1316.14038	8717.0918	327.88126	1.3266799999999999	1.83217	1413.9447	9038.48828	270	1	22	1	296.73400000000004	293.527	764.19867	13.721779999999999	20732.7	20965.7	20732.9	20964.2	296.7	296.7	1
647	20893.0	20523.7	20893.2	20522.0	1422.07593	13582.75391	400.3721	0.21281999999999998	1.86441	1328.1928699999999	14001.14844	279	1	26	1	213.101	209.72299999999998	1190.75521	12.8356	20893.0	20523.7	20893.2	20522.0	213.1	213.1	1
647	20621.3	20941.7	20621.5	20940.0	2374.41772	23639.49414	336.78494	0.09598999999999999	1.39242	1380.59644	24101.84375	280	2	31	1	338.199	334.801	2072.39644	7.69062	20621.3	20941.7	20621.5	20940.0	338.2	338.2	1
647	21227.0	21443.7	21227.2	21442.0	1393.60254	8128.47705	308.31424	0.68823	1.04767	1325.44312	8670.28906	282	1	30	1	416.209	412.773	712.59676	12.769039999999999	21227.0	21443.7	21227.2	21442.0	416.2	416.2	1
647	21238.1	20975.7	21238.3	20974.0	1091.25781	12216.04785	428.91125	0.21076999999999999	1.93806	1310.7979699999999	12867.55469	285	1	21	1	175.15	171.657	1070.9406	15.89736	21238.1	20975.7	21238.3	20974.0	175.2	175.2	1
647	21647.9	21274.4	21648.1	21272.6	2751.72314	18930.62695	334.84064	0.3451	0.9836799999999999	1302.3696300000001	19324.88672	289	1	21	1	432.974	429.404	1659.5855900000001	7.07868	21647.9	21274.4	21648.1	21272.6	433.0	433.0	1
647	21778.1	20816.6	21778.3	20814.8	635.7452400000001	4433.95557	337.71896	0.42638000000000004	0.95086	1293.92615	4948.61719	290	1	29	1	442.525	438.93699999999995	388.71025	26.02484	21778.1	20816.6	21778.3	20814.8	442.5	442.5	1
647	21036.6	21418.7	21036.8	21416.9	2721.4482399999997	16190.31348	311.37405	0.75644	0.83515	1311.3215300000002	16593.24609	290	1	31	1	460.94699999999995	457.358	1419.35135	7.1729199999999995	21036.6	21418.7	21036.8	21416.9	460.9	460.9	1
647	21259.1	21389.5	21259.3	21387.7	779.83386	4682.36816	312.85067999999995	0.91822	0.75453	1317.24243	4953.12109	291	1	27	1	479.36800000000005	475.76	410.48777	21.6129	21259.1	21389.5	21259.3	21387.7	479.4	479.4	1
647	20536.9	20618.1	20537.1	20616.3	708.5989400000001	6336.17188	383.15259	0.66059	0.6942	1459.823	6815.148440000001	293	1	28	1	552.37	548.724	555.47128	24.8536	20536.9	20618.1	20537.1	20616.3	552.4	552.4	1
647	21491.0	20102.3	21491.2	20100.4	687.2072099999999	4942.624510000001	346.83092999999997	0.20931999999999998	0.68591	1327.2951699999999	5545.40625	296	1	31	1	520.986	517.2819999999999	433.30357999999995	24.977420000000002	21491.0	20102.3	21491.2	20100.4	521.0	521.0	1
